Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Annual Average 2019,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Nitrogen Dioxide (NO2),8.6,13.7,11,,,
Annual Average 2019,Neighborhood (UHF 34),Queens, Southwest Queens,407,Nitrogen Dioxide (NO2),13.6,16.6,15.1,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Nitrogen Dioxide (NO2),14.6,21.5,18.5,,,
Annual Average 2019,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Nitrogen Dioxide (NO2),19.2,25.1,22.4,,,
Annual Average 2019,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Nitrogen Dioxide (NO2),20.3,28.4,24.1,,,
Annual Average 2019,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Nitrogen Dioxide (NO2),19.3,22.3,20.8,,,
Annual Average 2019,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Nitrogen Dioxide (NO2),14.2,19.5,17.3,,,
Annual Average 2019,Neighborhood (UHF 34),Queens, West Queens,402,Nitrogen Dioxide (NO2),16.9,21.5,18.7,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Nitrogen Dioxide (NO2),17.6,22.9,19.7,,,
Annual Average 2019,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Nitrogen Dioxide (NO2),12.3,15.9,14.2,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Nitrogen Dioxide (NO2),16.7,19.1,17.7,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Nitrogen Dioxide (NO2),13.2,17.7,15.7,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),15.3,18.1,16.7,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),9,16.4,13.1,,,
Annual Average 2019,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),18.5,20.7,19.7,,,
Annual Average 2019,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Nitrogen Dioxide (NO2),22.4,29.9,26,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),11.4,15.2,13.5,,,
Annual Average 2019,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Nitrogen Dioxide (NO2),16.2,18.9,17.6,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),18.3,21.4,20,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),14.9,17.7,16.3,,,
Annual Average 2019,Neighborhood (UHF 42),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),17.9,20.4,19.4,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),13.7,17.2,15.8,,,
Annual Average 2019,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),14.3,18.9,16.3,,,
Annual Average 2019,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Nitrogen Dioxide (NO2),11.8,17.6,15.2,,,
Annual Average 2019,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Nitrogen Dioxide (NO2),14.1,16.2,15.4,,,
Annual Average 2019,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Nitrogen Dioxide (NO2),22.7,29.6,26.2,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Nitrogen Dioxide (NO2),19.6,23.2,21.4,,,
Annual Average 2019,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Nitrogen Dioxide (NO2),21.8,24.9,23.6,,,
Annual Average 2019,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Nitrogen Dioxide (NO2),17.8,19.6,18.8,,,
Annual Average 2019,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Nitrogen Dioxide (NO2),15.3,21.2,18.8,,,
Annual Average 2019,Neighborhood (UHF 42),Queens, Jamaica,408,Nitrogen Dioxide (NO2),14.1,17.5,15.5,,,
Annual Average 2019,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Nitrogen Dioxide (NO2),11.2,16.7,13.5,,,
Annual Average 2019,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Nitrogen Dioxide (NO2),18,23.4,20.2,,,
Annual Average 2019,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Nitrogen Dioxide (NO2),22.4,25.8,24.2,,,
Annual Average 2019,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Nitrogen Dioxide (NO2),13.7,15.5,14.7,,,
Annual Average 2019,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Nitrogen Dioxide (NO2),13.1,17.5,15.5,,,
Annual Average 2019,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Nitrogen Dioxide (NO2),14.1,16.8,15.7,,,
Annual Average 2019,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Nitrogen Dioxide (NO2),13.6,18.6,16.2,,,
Annual Average 2019,Neighborhood (UHF 42),Queens, Rockaways,410,Nitrogen Dioxide (NO2),8.1,11.8,10,,,
Annual Average 2019,Neighborhood (UHF 42),Staten Island, South Beach - Tottenville,504,Nitrogen Dioxide (NO2),8.1,12.1,10.2,,,
Annual Average 2019,Neighborhood (UHF 42),Queens, Southeast Queens,409,Nitrogen Dioxide (NO2),13.3,15.7,14.5,,,
Annual Average 2019,Neighborhood (UHF 42),Queens, Southwest Queens,407,Nitrogen Dioxide (NO2),13.6,16.6,15.1,,,
Annual Average 2019,Neighborhood (UHF 42),Staten Island, Stapleton - St. George,502,Nitrogen Dioxide (NO2),10.5,15.9,13.3,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, Sunset Park,205,Nitrogen Dioxide (NO2),14.6,21.5,18.5,,,
Annual Average 2019,Neighborhood (UHF 42),Manhattan, Union Square - Lower East Side,309,Nitrogen Dioxide (NO2),18.8,24.3,21.6,,,
Annual Average 2019,Neighborhood (UHF 42),Manhattan, Upper East Side,305,Nitrogen Dioxide (NO2),19,24.4,22.1,,,
Annual Average 2019,Neighborhood (UHF 42),Manhattan, Upper West Side,304,Nitrogen Dioxide (NO2),19.3,22.3,20.8,,,
Annual Average 2019,Neighborhood (UHF 42),Manhattan, Washington Heights,301,Nitrogen Dioxide (NO2),14.2,19.5,17.3,,,
Annual Average 2019,Neighborhood (UHF 42),Queens, West Queens,402,Nitrogen Dioxide (NO2),16.9,21.5,18.7,,,
Annual Average 2019,Neighborhood (UHF 42),Brooklyn, Williamsburg - Bushwick,211,Nitrogen Dioxide (NO2),17.6,22.9,19.7,,,
Annual Average 2019,Neighborhood (UHF 42),Staten Island, Willowbrook,503,Nitrogen Dioxide (NO2),9.9,14.4,12.2,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Bay Ridge and Dyker Heights (CD10),310,Nitrogen Dioxide (NO2),13.5,18.1,16.4,,,
Annual Average 2019,Neighborhood (Community District),Queens, Bayside and Little Neck (CD11),411,Nitrogen Dioxide (NO2),12.4,16,14.5,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Bedford Stuyvesant (CD3),303,Nitrogen Dioxide (NO2),17.1,19.6,18.4,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Belmont and East Tremont (CD6),206,Nitrogen Dioxide (NO2),15.3,18.3,17.1,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Bensonhurst (CD11),311,Nitrogen Dioxide (NO2),14.8,16.8,15.9,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Borough Park (CD12),312,Nitrogen Dioxide (NO2),15.4,18.2,17,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Brownsville (CD16),316,Nitrogen Dioxide (NO2),16.4,17.7,17,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Bushwick (CD4),304,Nitrogen Dioxide (NO2),15.3,20.8,18.2,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Central Harlem (CD10),110,Nitrogen Dioxide (NO2),18.5,20.9,19.8,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Clinton and Chelsea (CD4),104,Nitrogen Dioxide (NO2),21.9,27.5,24.6,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Coney Island (CD13),313,Nitrogen Dioxide (NO2),11.2,14.2,12.9,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Crown Heights and Prospect Heights (CD8),308,Nitrogen Dioxide (NO2),17,19.4,18.2,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, East Flatbush (CD17),317,Nitrogen Dioxide (NO2),15.3,17.4,16.4,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, East Harlem (CD11),111,Nitrogen Dioxide (NO2),18,20.3,19.4,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, East New York and Starrett City (CD5),305,Nitrogen Dioxide (NO2),12.8,17.1,15.4,,,
Annual Average 2019,Neighborhood (Community District),Queens, Elmhurst and Corona (CD4),404,Nitrogen Dioxide (NO2),17.5,18.9,18.2,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Financial District (CD1),101,Nitrogen Dioxide (NO2),22.6,25.8,24.3,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Flatbush and Midwood (CD14),314,Nitrogen Dioxide (NO2),14.8,17.1,15.8,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Flatlands and Canarsie (CD18),318,Nitrogen Dioxide (NO2),8.9,16.1,13.1,,,
Annual Average 2019,Neighborhood (Community District),Queens, Flushing and Whitestone (CD7),407,Nitrogen Dioxide (NO2),14.1,19.1,16.3,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Fordham and University Heights (CD5),205,Nitrogen Dioxide (NO2),16.8,19.4,18.2,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,Nitrogen Dioxide (NO2),18.9,21.3,19.9,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Greenpoint and Williamsburg (CD1),301,Nitrogen Dioxide (NO2),19.8,23.5,21.5,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Greenwich Village and Soho (CD2),102,Nitrogen Dioxide (NO2),21.8,24.6,23.4,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Highbridge and Concourse (CD4),204,Nitrogen Dioxide (NO2),17.8,19.5,18.7,,,
Annual Average 2019,Neighborhood (Community District),Queens, Hillcrest and Fresh Meadows (CD8),408,Nitrogen Dioxide (NO2),13.3,16.3,15.1,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Hunts Point and Longwood (CD2),202,Nitrogen Dioxide (NO2),16,21.4,19,,,
Annual Average 2019,Neighborhood (Community District),Queens, Jackson Heights (CD3),403,Nitrogen Dioxide (NO2),16.5,18.6,17.6,,,
Annual Average 2019,Neighborhood (Community District),Queens, Jamaica and Hollis (CD12),412,Nitrogen Dioxide (NO2),14.6,17.7,15.7,,,
Annual Average 2019,Neighborhood (Community District),Queens, Kew Gardens and Woodhaven (CD9),409,Nitrogen Dioxide (NO2),14.8,16.9,16.1,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Kingsbridge Heights and Bedford (CD7),207,Nitrogen Dioxide (NO2),14.8,17.6,16.2,,,
Annual Average 2019,Neighborhood (Community District),Queens, Long Island City and Astoria (CD1),401,Nitrogen Dioxide (NO2),15.5,20.3,18.4,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Lower East Side and Chinatown (CD3),103,Nitrogen Dioxide (NO2),18.7,23.7,21.2,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Midtown (CD5),105,Nitrogen Dioxide (NO2),26,30.7,28.5,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Morningside Heights and Hamilton Heights (CD9),109,Nitrogen Dioxide (NO2),18.1,20.3,19.2,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Morris Park and Bronxdale (CD11),211,Nitrogen Dioxide (NO2),14.6,16.7,15.5,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Morrisania and Crotona (CD3),203,Nitrogen Dioxide (NO2),16.4,18.8,17.8,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Mott Haven and Melrose (CD1),201,Nitrogen Dioxide (NO2),18.6,21.1,19.7,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Park Slope and Carroll Gardens (CD6),306,Nitrogen Dioxide (NO2),18.3,21.5,20.1,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Parkchester and Soundview (CD9),209,Nitrogen Dioxide (NO2),13.8,18.1,16.4,,,
Annual Average 2019,Neighborhood (Community District),Queens, Queens Village (CD13),413,Nitrogen Dioxide (NO2),13.3,15.7,14.6,,,
Annual Average 2019,Neighborhood (Community District),Queens, Rego Park and Forest Hills (CD6),406,Nitrogen Dioxide (NO2),14.5,18.2,16.4,,,
Annual Average 2019,Neighborhood (Community District),Queens, Ridgewood and Maspeth (CD5),405,Nitrogen Dioxide (NO2),13.4,21.3,17.1,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Riverdale and Fieldston (CD8),208,Nitrogen Dioxide (NO2),11.3,16.5,13.5,,,
Annual Average 2019,Neighborhood (Community District),Queens, Rockaway and Broad Channel (CD14),414,Nitrogen Dioxide (NO2),7.9,11.7,9.9,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Sheepshead Bay (CD15),315,Nitrogen Dioxide (NO2),11.2,15,13.6,,,
Annual Average 2019,Neighborhood (Community District),Staten Island, South Beach and Willowbrook (CD2),502,Nitrogen Dioxide (NO2),9.7,13.8,11.7,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,Nitrogen Dioxide (NO2),16.5,18.1,17.4,,,
Annual Average 2019,Neighborhood (Community District),Queens, South Ozone Park and Howard Beach (CD10),410,Nitrogen Dioxide (NO2),12.6,16,14.5,,,
Annual Average 2019,Neighborhood (Community District),Staten Island, St. George and Stapleton (CD1),501,Nitrogen Dioxide (NO2),13.2,16.6,15.1,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,Nitrogen Dioxide (NO2),20.7,27.8,24.5,,,
Annual Average 2019,Neighborhood (Community District),Brooklyn, Sunset Park (CD7),307,Nitrogen Dioxide (NO2),14.7,21.6,18.5,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Throgs Neck and Co-op City (CD10),210,Nitrogen Dioxide (NO2),12.5,16.4,14.6,,,
Annual Average 2019,Neighborhood (Community District),Staten Island, Tottenville and Great Kills (CD3),503,Nitrogen Dioxide (NO2),8,12.1,10.2,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Upper East Side (CD8),108,Nitrogen Dioxide (NO2),19,24.7,22.2,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Upper West Side (CD7),107,Nitrogen Dioxide (NO2),19.3,22.3,20.8,,,
Annual Average 2019,Neighborhood (Community District),Manhattan, Washington Heights and Inwood (CD12),112,Nitrogen Dioxide (NO2),13.8,19.4,16.9,,,
Annual Average 2019,Neighborhood (Community District),Bronx, Williamsbridge and Baychester (CD12),212,Nitrogen Dioxide (NO2),11.9,15.4,14.2,,,
Annual Average 2019,Neighborhood (Community District),Queens, Woodside and Sunnyside (CD2),402,Nitrogen Dioxide (NO2),18,23.7,20.7,,,
